quartier,nom,propEspacesVerts,indexEspacesVerts,tauxViolencePhysiqueCrapuleuse,tauxVolSimple,somme,indexCriminalité,index
1,Saint-Germain-l'Auxerrois,0.188633879781421,1.000,39.900,182.500,222.400,0.000,0.500
2,Halles,0.188633879781421,1.000,39.900,182.500,222.400,0.000,0.500
3,Palais-Royal,0.188633879781421,1.000,39.900,182.500,222.400,0.000,0.500
4,Place-Vendôme,0.188633879781421,1.000,39.900,182.500,222.400,0.000,0.500
5,Gaillon,0.002323232323232,0.000,11.600,69.500,81.100,0.693,0.347
6,Vivienne,0.002323232323232,0.000,11.600,69.500,81.100,0.693,0.347
7,Mail,0.002323232323232,0.000,11.600,69.500,81.100,0.693,0.347
8,Bonne-Nouvelle,0.002323232323232,0.000,11.600,69.500,81.100,0.693,0.347
9,Arts-et-Métiers,0.022222222222222,0.107,6.300,45.000,51.300,0.840,0.473
10,Enfants-Rouges,0.022222222222222,0.107,6.300,45.000,51.300,0.840,0.473
11,Archives,0.022222222222222,0.107,6.300,45.000,51.300,0.840,0.473
12,Sainte-Avoye,0.022222222222222,0.107,6.300,45.000,51.300,0.840,0.473
13,Saint-Merri,0.0305625,0.152,12.100,75.200,87.300,0.663,0.407
14,Saint-Gervais,0.0305625,0.152,12.100,75.200,87.300,0.663,0.407
15,Arsenal,0.0305625,0.152,12.100,75.200,87.300,0.663,0.407
16,Notre-Dame,0.0305625,0.152,12.100,75.200,87.300,0.663,0.407
17,Saint-Victor,0.127716535433071,0.673,5.200,34.900,40.100,0.895,0.784
18,Jardin-des-Plantes,0.127716535433071,0.673,5.200,34.900,40.100,0.895,0.784
19,Val-de-Grâce,0.127716535433071,0.673,5.200,34.900,40.100,0.895,0.784
20,Sorbonne,0.127716535433071,0.202,5.200,34.900,40.100,0.895,0.548
21,Monnaie,0.120372093023256,0.190,5.500,45.400,50.900,0.842,0.516
22,Odéon,0.120372093023256,0.190,5.500,45.400,50.900,0.842,0.516
23,Notre-Dame-des-Champs,0.120372093023256,0.634,5.500,45.400,50.900,0.842,0.738
24,Saint-Germain-des-Prés,0.120372093023256,0.634,5.500,45.400,50.900,0.842,0.738
25,Saint-Thomas-d'Aquin,0.081711491442543,0.426,3.900,32.400,36.300,0.913,0.670
26,Invalides,0.081711491442543,0.426,3.900,32.400,36.300,0.913,0.670
27,École-Militaire,0.081711491442543,0.426,3.900,32.400,36.300,0.913,0.670
28,Gros-Caillou,0.081711491442543,0.426,3.900,32.400,36.300,0.913,0.670
29,Champs-Élysées,0.064355670103093,0.333,20.400,132.300,152.700,0.342,0.337
30,Faubourg-du-Roule,0.064355670103093,0.333,20.400,132.300,152.700,0.342,0.337
31,Madeleine,0.064355670103093,0.333,20.400,132.300,152.700,0.342,0.337
32,Europe,0.064355670103093,0.333,20.400,132.300,152.700,0.342,0.337
33,Saint-Georges,0.00651376146789,0.022,13.000,73.600,86.600,0.666,0.344
34,Chaussée-d'Antin,0.00651376146789,0.022,13.000,73.600,86.600,0.666,0.344
35,Faubourg-Montmartre,0.00651376146789,0.022,13.000,73.600,86.600,0.666,0.344
36,Rochechouart,0.00651376146789,0.022,13.000,73.600,86.600,0.666,0.344
37,Saint-Vincent-de-Paul,0.013356401384083,0.059,13.600,66.800,80.400,0.697,0.378
38,Porte-Saint-Denis,0.013356401384083,0.059,13.600,66.800,80.400,0.697,0.378
39,Porte-Saint-Martin,0.013356401384083,0.059,13.600,66.800,80.400,0.697,0.378
40,Hôpital-Saint-Louis,0.013356401384083,0.059,13.600,66.800,80.400,0.697,0.378
41,Folie-Méricourt,0.02425068119891,0.118,6.200,29.700,35.900,0.915,0.516
42,Saint-Ambroise,0.02425068119891,0.118,6.200,29.700,35.900,0.915,0.516
43,Roquette,0.02425068119891,0.118,6.200,29.700,35.900,0.915,0.516
44,Sainte-Marguerite,0.02425068119891,0.118,6.200,29.700,35.900,0.915,0.516
45,Bel-Air,0.036766091051805,0.185,6.400,31.600,38.000,0.905,0.545
46,Picpus,0.036766091051805,0.185,6.400,31.600,38.000,0.905,0.545
47,Bercy,0.036766091051805,0.185,6.400,31.600,38.000,0.905,0.545
48,Quinze-Vingts,0.036766091051805,0.185,6.400,31.600,38.000,0.905,0.545
49,Salpêtrière,0.043314685314685,0.220,5.500,23.000,28.500,0.951,0.586
50,Gare,0.043314685314685,0.220,5.500,23.000,28.500,0.951,0.586
51,Maison-Blanche,0.043314685314685,0.220,5.500,23.000,28.500,0.951,0.586
52,Croulebarbe,0.043314685314685,0.220,5.500,23.000,28.500,0.951,0.586
53,Montparnasse,0.051542553191489,0.264,3.700,22.300,26.000,0.964,0.614
54,Parc-de-Montsouris,0.051542553191489,0.264,3.700,22.300,26.000,0.964,0.614
55,Petit-Montrouge,0.051542553191489,0.264,3.700,22.300,26.000,0.964,0.614
56,Plaisance,0.051542553191489,0.264,3.700,22.300,26.000,0.964,0.614
57,Saint-Lambert,0.073030660377359,0.380,2.800,15.800,18.600,1.000,0.690
58,Necker,0.073030660377359,0.380,2.800,15.800,18.600,1.000,0.690
59,Grenelle,0.073030660377359,0.380,2.800,15.800,18.600,1.000,0.690
60,Javel,0.073030660377359,0.380,2.800,15.800,18.600,1.000,0.690
61,Auteuil,0.071163084702908,0.369,4.300,17.600,21.900,0.984,0.677
62,Muette,0.071163084702908,0.369,4.300,17.600,21.900,0.984,0.677
63,Porte-Dauphine,0.071163084702908,0.369,4.300,17.600,21.900,0.984,0.677
64,Chaillot,0.071163084702908,0.369,4.300,17.600,21.900,0.984,0.677
65,Ternes,0.057918871252205,0.298,4.800,20.100,24.900,0.969,0.634
66,Plaine-de-Monceaux,0.057918871252205,0.298,4.800,20.100,24.900,0.969,0.634
67,Batignolles,0.057918871252205,0.298,4.800,20.100,24.900,0.969,0.634
68,Épinettes,0.057918871252205,0.298,4.800,20.100,24.900,0.969,0.634
69,Grandes-Carrières,0.029600665557404,0.146,10.600,26.000,36.600,0.912,0.529
70,Clignancourt,0.029600665557404,0.146,10.600,26.000,36.600,0.912,0.529
71,Goutte-d'Or,0.029600665557404,0.146,10.600,26.000,36.600,0.912,0.529
72,Chapelle,0.029600665557404,0.146,10.600,26.000,36.600,0.912,0.529
73,Villette,0.143696612665685,0.759,7.300,21.600,28.900,0.949,0.854
74,Pont-de-Flandre,0.143696612665685,0.759,7.300,21.600,28.900,0.949,0.854
75,Amérique,0.143696612665685,0.759,7.300,21.600,28.900,0.949,0.854
76,Combat,0.143696612665685,0.759,7.300,21.600,28.900,0.949,0.854
77,Belleville,0.05628762541806,0.290,4.200,14.900,19.100,0.998,0.644
