quartier,nom,loyers,indexLoyers,prixPanier,indexPrixPanier,index
1,Saint-Germain-l'Auxerrois,35.3,0,485.00,0.068,0.020
2,Halles,27.1,0.683333333333333,485.00,0.068,0.499
3,Palais-Royal,35.3,0,485.00,0.068,0.020
4,Place-Vendôme,35.3,0,485.00,0.068,0.020
5,Gaillon,35.3,0,481.75,0.095,0.029
6,Vivienne,31.2,0.341666666666667,481.75,0.095,0.268
7,Mail,31.2,0.341666666666667,481.75,0.095,0.268
8,Bonne-Nouvelle,31.2,0.341666666666667,481.75,0.095,0.268
9,Arts-et-Métiers,31.2,0.341666666666667,479.38,0.115,0.274
10,Enfants-Rouges,31.2,0.341666666666667,479.38,0.115,0.274
11,Archives,31.2,0.341666666666667,479.38,0.115,0.274
12,Sainte-Avoye,31.2,0.341666666666667,479.38,0.115,0.274
13,Saint-Merri,35.3,0,454.50,0.326,0.098
14,Saint-Gervais,31.2,0.341666666666667,454.50,0.326,0.337
15,Arsenal,35.3,0,454.50,0.326,0.098
16,Notre-Dame,35.3,0,454.50,0.326,0.098
17,Saint-Victor,31.2,0.341666666666667,452.50,0.343,0.342
18,Jardin-des-Plantes,27.9,0.616666666666667,452.50,0.343,0.535
19,Val-de-Grâce,31.2,0.341666666666667,452.50,0.343,0.342
20,Sorbonne,31.2,0.341666666666667,452.50,0.343,0.342
21,Monnaie,35.3,0,483.50,0.081,0.024
22,Odéon,35.3,0,483.50,0.081,0.024
23,Notre-Dame-des-Champs,32.8,0.208333333333333,483.50,0.081,0.170
24,Saint-Germain-des-Prés,35.3,0,483.50,0.081,0.024
25,Saint-Thomas-d'Aquin,32.8,0.208333333333333,469.53,0.199,0.206
26,Invalides,32.8,0.208333333333333,469.53,0.199,0.206
27,École-Militaire,32.8,0.208333333333333,469.53,0.199,0.206
28,Gros-Caillou,32.8,0.208333333333333,469.53,0.199,0.206
29,Champs-Élysées,35.3,0,485.00,0.068,0.020
30,Faubourg-du-Roule,35.3,0,485.00,0.068,0.020
31,Madeleine,35.3,0,485.00,0.068,0.020
32,Europe,29.5,0.483333333333333,485.00,0.068,0.359
33,Saint-Georges,27.1,0.683333333333333,492.00,0.008,0.481
34,Chaussée-d'Antin,35.3,0,492.00,0.008,0.003
35,Faubourg-Montmartre,27.1,0.683333333333333,492.00,0.008,0.481
36,Rochechouart,27.1,0.683333333333333,492.00,0.008,0.481
37,Saint-Vincent-de-Paul,27.1,0.683333333333333,465.00,0.237,0.550
38,Porte-Saint-Denis,27.1,0.683333333333333,465.00,0.237,0.550
39,Porte-Saint-Martin,25.1,0.85,465.00,0.237,0.666
40,Hôpital-Saint-Louis,25.1,0.85,465.00,0.237,0.666
41,Folie-Méricourt,25.1,0.85,470.20,0.193,0.653
42,Saint-Ambroise,27.9,0.616666666666667,470.20,0.193,0.490
43,Roquette,25.1,0.85,470.20,0.193,0.653
44,Sainte-Marguerite,27.9,0.616666666666667,470.20,0.193,0.490
45,Bel-Air,25.6,0.808333333333333,474.50,0.157,0.613
46,Picpus,23.7,0.966666666666667,474.50,0.157,0.724
47,Bercy,25.6,0.808333333333333,474.50,0.157,0.613
48,Quinze-Vingts,25.1,0.85,474.50,0.157,0.642
49,Salpêtrière,27.9,0.616666666666667,375.00,1.000,0.732
50,Gare,23.3,1,375.00,1.000,1.000
51,Maison-Blanche,25.4,0.825,375.00,1.000,0.878
52,Croulebarbe,27.1,0.683333333333333,375.00,1.000,0.778
53,Montparnasse,27.1,0.683333333333333,477.00,0.136,0.519
54,Parc-de-Montsouris,25.1,0.85,477.00,0.136,0.636
55,Petit-Montrouge,27.9,0.616666666666667,477.00,0.136,0.472
56,Plaisance,27.9,0.616666666666667,477.00,0.136,0.472
57,Saint-Lambert,27.3,0.666666666666667,465.60,0.232,0.536
58,Necker,27.3,0.666666666666667,465.60,0.232,0.536
59,Grenelle,28.2,0.591666666666667,465.60,0.232,0.484
60,Javel,28.2,0.591666666666667,465.60,0.232,0.484
61,Auteuil,28.2,0.591666666666667,444.00,0.415,0.539
62,Muette,29.5,0.483333333333333,444.00,0.415,0.463
63,Porte-Dauphine,29.5,0.483333333333333,444.00,0.415,0.463
64,Chaillot,29.5,0.483333333333333,444.00,0.415,0.463
65,Ternes,28.2,0.591666666666667,466.00,0.229,0.483
66,Plaine-de-Monceaux,28.2,0.591666666666667,466.00,0.229,0.483
67,Batignolles,27.9,0.616666666666667,466.00,0.229,0.500
68,Épinettes,25.1,0.85,466.00,0.229,0.664
69,Grandes-Carrières,23.7,0.966666666666667,466.00,0.229,0.745
70,Clignancourt,23.7,0.966666666666667,466.00,0.229,0.745
71,Goutte-d'Or,25.1,0.85,466.00,0.229,0.664
72,Chapelle,23.3,1,466.00,0.229,0.769
73,Villette,23.3,1,493.00,0.000,0.700
74,Pont-de-Flandre,23.3,1,493.00,0.000,0.700
75,Amérique,23.3,1,493.00,0.000,0.700
76,Combat,25.6,0.808333333333333,493.00,0.000,0.566
77,Belleville,25.1,0.85,448.33,0.379,0.709
78,Saint-Fargeau,23.3,1,448.33,0.379,0.814
79,Père-Lachaise,25.6,0.808333333333333,448.33,0.379,0.679
80,Charonne,23.3,1,448.33,0.379,0.814
