quartier,nom,prixPinte,indexPinte,nbSoireesProxi,indexSoirees,sommeArrondissement,indexSoireesArr,index
1,Saint-Germain-l'Auxerrois,4.700,0.352,1,"0,333333333333333",1,"0,142857142857143",0.248
2,Halles,4.375,0.476,0,0,1,"0,142857142857143",0.310
3,Palais-Royal,5.000,0.238,0,0,1,"0,142857142857143",0.190
4,Place-Vendôme,5.000,0.238,0,0,1,"0,142857142857143",0.190
5,Gaillon,5.500,0.048,1,"0,333333333333333",1,"0,142857142857143",0.095
6,Vivienne,4.850,0.295,0,0,1,"0,142857142857143",0.219
7,Mail,4.500,0.429,0,0,1,"0,142857142857143",0.286
8,Bonne-Nouvelle,4.400,0.467,0,0,1,"0,142857142857143",0.305
9,Arts-et-Métiers,3.825,0.686,0,0,0,0,0.343
10,Enfants-Rouges,4.100,0.581,0,0,0,0,0.290
11,Archives,5.000,0.238,0,0,0,0,0.119
12,Sainte-Avoye,4.725,0.343,0,0,0,0,0.171
13,Saint-Merri,4.625,0.381,0,0,3,"0,428571428571429",0.405
14,Saint-Gervais,4.350,0.486,0,0,3,"0,428571428571429",0.457
15,Arsenal,5.100,0.200,0,0,3,"0,428571428571429",0.314
16,Notre-Dame,5.500,0.048,3,1,3,"0,428571428571429",0.238
17,Saint-Victor,3.875,0.667,1,"0,333333333333333",2,"0,285714285714286",0.476
18,Jardin-des-Plantes,3.800,0.695,0,0,2,"0,285714285714286",0.490
19,Val-de-Grâce,4.100,0.581,0,0,2,"0,285714285714286",0.433
20,Sorbonne,4.700,0.352,1,"0,333333333333333",2,"0,285714285714286",0.319
21,Monnaie,5.000,0.238,3,1,7,1,0.619
22,Odéon,4.750,0.333,2,"0,666666666666667",7,1,0.667
23,Notre-Dame-des-Champs,5.250,0.143,0,0,7,1,0.571
24,Saint-Germain-des-Prés,5.200,0.162,2,"0,666666666666667",7,1,0.581
25,Saint-Thomas-d'Aquin,5.125,0.190,2,"0,666666666666667",3,"0,428571428571429",0.310
26,Invalides,5.000,0.238,1,"0,333333333333333",3,"0,428571428571429",0.333
27,École-Militaire,4.775,0.324,0,0,3,"0,428571428571429",0.376
28,Gros-Caillou,5.625,0.000,0,0,3,"0,428571428571429",0.214
29,Champs-Élysées,5.250,0.143,0,0,0,0,0.071
30,Faubourg-du-Roule,5.500,0.048,0,0,0,0,0.024
31,Madeleine,5.125,0.190,0,0,0,0,0.095
