ndegauto,nom_etablissement,ecrans,fauteuils,art_et_essai,Adresse,arrondissement,lat,lng
8361,ESPACE SAINT MICHEL 1,2,210,A,7 PLACE ST MICHEL,75005,48.853093, 2.344228
8374,LE DESPERADO 1,2,200,A,23 RUE DES ECOLES,75005,48.848384, 2.348973
8143,MISTRAL 2,5,870,NON,70 AVENUE DU GENERAL LECLERC,75014,48.829473, 2.328009
5691,MK2 GAMBETTA 1,6,1238,NON,6 RUE BELGRAND,75020,48.864763, 2.399555
1031,PUBLICIS CINEMA 2,2,609,NON,133 AVENUE DES CHAMPS ELYSEES,75008,48.872794, 2.296984
7394,GAUMONT CONVENTION 2,6,1078,NON,27 A 31 RUE ALAIN CHARTIER,75015,48.838033, 2.295827
202,GAUMONT OPERA FRANCAIS 8,5,994,NON,38 BOULEVARD DES ITALIENS,75009,48.871048, 2.334386
8291,L'ARLEQUIN PANORAMA,3,595,A,76 RUE DE RENNES,75006,48.851278, 2.330648
9351,MK2 GRAND PALAIS,1,92,NON,GRAND PALAIS CHAMPS ELYSEES,75008,48.870843, 2.304317
8341,NOUVEL ODEON,1,119,A,6 RUE DE L ECOLE DE MEDECINE,75006,48.850764, 2.341747
733,STUDIO GALANDE,1,97,A,42 RUE GALANDE,75005,48.851619, 2.347076
55,ELYSEES LINCOLN 1,3,448,A,14 RUE LINCOLN,75008,48.870512, 2.303157
5841,LA BASTILLE 1,3,483,NON,5 RUE DU FAUBOURG ST ANTOINE,75011,48.853157, 2.370719
9600,MK2 BIBLIOTHEQUE A,16,2981,NON,128 A 162 AVENUE DE FRANCE,75013,48.833718, 2.373922
52,GAUMONT CHAMPS ELYSEES AMBASSADE 7,7,1568,NON,50 AVENUE DES CHAMPS ELYSEES,75008,48.870374, 2.306888
12,GEORGE V 4,11,1666,NON,146 AVENUE DES CHAMPS ELYSEES,75008,48.873073, 2.298394
8392,ACCATONE,1,73,NON,20 RUE CUJAS,75005,48.84815, 2.341975
3741,STUDIO 28,1,172,NON,10 RUE THOLOZE,75018,48.886142, 2.335342
8353,UGC ODEON 2,4,816,NON,124 BOULEVARD ST GERMAIN,75006,48.852353, 2.339834
54,GAUMONT CHAMPS ELYSEES MARIGNAN 3,6,1701,NON,27/33 AVENUE DES CHAMPS ELYSEES,75008,48.869654, 2.306873
8391,LE CINEMA DU PANTHEON,1,200,A,13 RUE VICTOR COUSIN,75005,48.847502, 2.342301
6212,MK2 NATION 1,4,976,NON,133 BOULEVARD DIDEROT,75012,48.848213, 2.39311
2991,SAINT LAZARE PASQUIER 1,3,331,NON,44 RUE PASQUIER,75008,48.874832, 2.323941
451,UGC MONTPARNASSE 1,7,1592,NON,83 BOULEVARDD DU MONTPARNASSE,75006,48.84351, 2.325646
9802,CLUB DE L ETOILE,1,161,NON,14 RUE TROYON,75017,48.876113, 2.295345
8661,ESCURIAL 1,2,329,A,11 BOULEVARD PORT ROYAL,75013,48.836817, 2.349632
8621,GAUMONT GOBELINS 1,5,1162,NON,58 AVENUE DES GOBELINS,75013,48.833574, 2.353775
751,SAINT ANDRE DES ARTS 1,3,510,A,3O RUE ST ANDRE DES ARTS,75006,48.853442, 2.340503
741,LUXEMBOURG 1,3,334,A,67 69 RUE MONSIEUR LE PRINCE,75006,48.84824, 2.340797
5852,MAJESTIC BASTILLE 1,2,356,A,4 BOULEVARD RICHARD LENOIR,75011,48.85399, 2.369949
881,LA PAGODE 1,2,392,A,57 BIS RUE DE BABYLONE,75007,48.851726, 2.316361
8422,LE CHAMPO SALLE 1,2,236,A,51 RUE DES ECOLES,75005,48.849983, 2.343211
