DEPARTEMENTS,NOM DU MUSEE,lat,lng
PARIS,Institut du Monde Arabe,48.8489231, 2.35749301052
PARIS,Musée de la Chasse et de la Nature,48.8613464, 2.3584276
PARIS,Galerie d'Anatomie Comparée et de Paléontologie (Muséum d'Histoire Naturelle),48.8432434, 2.35954535401
PARIS,Galerie d’entomologie (Muséum national d'histoire naturelle),48.8443464, 2.3562118
PARIS,Musée Hébert,48.8474495, 2.3227049
PARIS,Musée Zadkine,48.8443793, 2.3328737
PARIS,Etablissement Public du Musée d'Orsay,48.8597437, 2.3259203
PARIS,Musée National Auguste Rodin,48.8513447, 2.3272485
PARIS,Musée National de la Légion d'Honneur et des Ordres de Chevalerie,48.860275, 2.3247399
PARIS,Musée Lénine,48.8263909, 2.3306427
PARIS,Musée Jean-Jacques Henner,48.883052, 2.3077052
PARIS,Musée de la Musique,48.9009201, 2.3885538
PARIS,Musée d'Art Moderne de la ville de Paris,48.8638282, 2.2908297
PARIS,Musée National de la Marine,48.8618163, 2.2873421
PARIS,Musée du Service de Santé des Armées du Val-de-Grâce,48.8405539, 2.340908
PARIS,Musée Cognacq-Jay,48.8582094, 2.3614604
PARIS,Musée d'Art et d'Histoire du Judaïsme,48.8612342, 2.35550151105
PARIS,Musée National Picasso,48.8566486, 2.3558134
PARIS,Maison de Victor Hugo,48.854871, 2.3661025
PARIS,Galerie de Minéralogie et de Géologie (Muséum d'Histoire Naturelle),48.8432434, 2.35954535401
PARIS,Musée National du Moyen Age-Thermes de Cluny,48.850322, 2.3439302
PARIS,Musée Cernuschi,48.8796408, 2.3124486
PARIS,Musée de la Franc-Maçonnerie,48.8748405, 2.34301
PARIS,Cité Nationale de l'Histoire et des Cultures de l'Immigration,48.83527605, 2.40936723103
PARIS,Musée National du Sport,48.8291911, 2.3776989
PARIS,Maison de Balzac,48.8553621, 2.2808368
PARIS,Musée d'Ennery,48.8716939, 2.2814079
PARIS,Musées Arts Décoratifs  Mode et du Textile,48.8638473, 2.3317955
PARIS,Musée de l'Armée,48.8560795, 2.3115715
PARIS,Musée Nissim de Camondo (Les Arts Décoratifs),48.8787605, 2.3126925
PARIS,Petit Palais,48.8675162, 2.3139892
PARIS,Mémorial du Maréchal Leclerc de Hauteclocque et de la Libération de Paris - Musée Jean Moulin,48.8391054, 2.3179996
PARIS,Etablissement Public du Musée des Arts Asiatiques Guimet,48.8650504, 2.2936808
PARIS,Musée Galliéra - Musée de la Mode de la ville de Paris,48.8658717, 2.2963515
PARIS,Musée du Louvre,48.86147675, 2.33711537245
PARIS,Musée National de L'Orangerie des Tuileries,48.86376555, 2.32266005578
PARIS,Musée de la Vie Romantique,48.8808923, 2.3332855
PARIS,Musée Nationale Gustave Moreau,48.8779149, 2.3344031
PARIS,Aquarium Tropical,48.8346407, 2.4095903
PARIS,Les Catacombes,48.83383915, 2.33240808278
PARIS,Musée Bourdelle,48.8430139, 2.3188646
PARIS,Musée Bouchard,48.853546, 2.2659185
PARIS,Musée de l'Homme (Muséum National d'Histoire Naturelle),48.86134405, 2.28695834977
PARIS,Musée National des Techniques (Conservatoire National des Arts et Métiers),48.8660977, 2.3554138
PARIS,Musée National d'Art Moderne (Centre National d'Art et de Culture Georges Pompidou),48.8607161, 2.3525007
PARIS,Musée du Quai Branly,48.8602251, 2.2973673
PARIS,Musée de la Poste,48.841345, 2.3172728
PARIS,Musée Carnavalet-Histoire de Paris,48.8570542, 2.3628612
PARIS,Galerie de Botanique (Muséum National National d'Histoire Naturelle),48.8415118, 2.3559666
PARIS,Grande Galerie de l'Evolution (Muséum National d'Histoire Naturelle),48.8421181, 2.356237724
PARIS,Musée de l'Assistance Publique - Hôpitaux de Paris,48.850724, 2.3518758
PARIS,Musée National Eugène Delacroix,48.85458545, 2.33563540988
PARIS,Musée de Montmartre,48.8877198, 2.340529
PARIS,Musée des Monuments Français,48.86289005, 2.28904154902
PARIS,Musée des Monnaies et des Médailles,48.8574815, 2.3380657
