number,name,address,lat,lng,
909,00909 - PONT D'ARCOLE (STATION MOBILE),Voie Georges Pompidou - 75004 PARIS,48.855843, 2.3507829,
907,00907 - PONT NEUF (STATION MOBILE),63 Voie Georges Pompidou  - 75001 Paris,48.8583208245, 2.34240800142,
14103,14103 - MAINE LIANCOURT,132 / 136 AVENUE DU MAINE - 75014 PARIS,48.835064364, 2.32373144997,
32603,32603 - CALMETTE (LES LILAS),1 ALLEE DOCTEUR CALMETTE - 93260 LES LILAS,48.8811410157, 2.42497424307,
18110,18110 - DEPARTEMENT,FACE 53 RUE DU DEPARTEMENT - 75018 PARIS,48.8866656247, 2.36151933794,
42203,42203 - ELUARD (CHARENTON),FACE AU 7 RUE PAUL ELUARD - 94220 CHARENTON,48.820403894, 2.40840547216,
13028,13028 - GOUTHIERE,12 RUE GOUTHIERE - 75013 PARIS,48.820507, 2.351342,
8011,08011 - DUBLIN,1 RUE CLAPEYRON - 75008 PARIS,48.8809353568, 2.32451663515,
44102,44102 - VERDUN (SAINT MAURICE),14 avenue de Verdun - 94410 SAINT MAURICE,48.8221758049, 2.42150447606,
18105,18105 - BELIARD POISSONNIERS,157 BIS-159 RUE DES POISSONNIERS - 75018 PARIS,48.8974067879, 2.35252665936,
16008,16008 - GALILEE KLEBER,1 RUE GALILEE - 75016 PARIS,48.8674118657, 2.29078138011,
18020,18020 - RUISSEAU,31 RUE FRANCOEUR - 75018 PARIS,48.8910412326, 2.34001458544,
31703,31703 - CARNOT (BAGNOLET),177 RUE SADI CARNOT - 93170 BAGNOLET,48.8752669984, 2.42364949052,
19037,19037 - PORTE DES LILAS,304 RUE DE BELLEVILLE - 75019 PARIS,48.8766039189, 2.40476969113,
7016,07016 - TOUR MAUBOURG UNIVERSITE,13 RUE SURCOUF - 75007 PARIS,48.8612730163, 2.30945355091,
14003,14003 - RASPAIL SCHOELCHER,2 RUE VICTOR SCHOELCHER - 75014 PARIS,48.8368508158, 2.33130360086,
13039,13039 - IVRY POINTE D'IVRY,42 - 44 AVENUE D'IVRY - 75013 PARIS,48.8232196832, 2.36546962811,
19120,19120 - ALOUETTES,20 RUE CARDUCCI - 75019 PARIS,48.8775162569, 2.38609972037,
12122,12122 - POLYGONE,AVENUE DU POLYGONE - 75012 PARIS,48.8354449162, 2.43142108144,
12114,12114 - PORTE DE SAINT MANDE,33 AVENUE COURTELINE - 75012 PARIS,48.843949064, 2.41508139483,
8003,08003 - GALILLE,63 RUE GALILEE - 75008 PARIS,48.8717051914, 2.29852826568,
21112,21112 - DEBUSSY (CLICHY),31/35 AVENUE CLAUDE DEBUSSY - 92110 CLICHY,48.9104291257, 2.31176817577,
20031,20031 - DURIS,33 RUE DURIS - 75020 PARIS,48.8655408671, 2.38772449616,
21006,21006 - PARIS (BOULOGNE-BILLANCOURT),162 RUE DE PARIS - 92100 BOULOGNE-BILLANCOURT,48.8415970289, 2.23349677554,
42707,42707 - OKABE (LE KREMLIN-BICETRE),51 avenue de Fontainebleau - 94270 Le Kremlin-Bicetre,48.8123678294, 2.36180984825,
11110,11110 - SQUARE ROQUETTE,176 RUE DE LA ROQUETTE - 75011 PARIS,48.8592429763, 2.38659328921,
20111,20111 - L'ISLE ADAM PYRENÉES,60 RUE VILLIERS DE L'ISLE ADAM - 75020 PARIS,48.8673622972, 2.39622289099,
12124,12124 - PYRAMIDE ARTILLERIE,ROUTE DE L'ARTILLERIE - 75012 PARIS,48.8390411459, 2.43765533908,
19028,19028 - PLACE DES FETES,17 RUE DES FETES - 75019 PARIS,48.8764683397, 2.39228462979,
